# -*-sh-*-
#
#  "Measurement of the Inclusive Jet Cross Section using the {\boldmath kT} algorithmin{\boldmath pp¯¯¯} 
#   Collisions at{\boldmath s√} = 1.96 TeV with the CDF II Detector"
#   by CDF collaboration.
#
# Published in Phys.Rev. D75 (2007) 092006 
# Erratum in Phys.Rev. D75 (2007) 119901
# Preprinted as FERMILAB-PUB-07-026-E
# Archived as  hep-ex/0701051
# Inspire      743342
# Data table prepared by DB
# values taken from publication
#


##########################################################
#  General parameters of this dataset
##########################################################

AlposName           "bla" # not used
Description         "CDF Inclusive kt-jets 2007"
Reference           "Phys.Rev. D75 (2007) 092006, eratum Phys.Rev. D75 (2007) 119901 [hep-ex/0701051]"

##########################################################
#  Theory function settings
##########################################################
TheoryFunction		         fastNLO    # e.g. fastNLO, fastNLOalt, ...


##########################################################
#  fastNLO parameters, specific to this dataset
#  not specified parameters are taken from default as
#  specified in the global steering file
##########################################################
Filename			theoryfiles/fnt2004_cv21_I743342.tab
Units				1      # 0: absoluteUnits, 1: PublicationUnits
MuRFuncForm			0      # 0: scale1, 1: scale2, 2: quad.sum, 3: quad.mean
MuFFuncForm		        0      # 0: scale1, 1: scale2, 2: quad.sum, 3: quad.mean

##########################################################
#  Data table 
#  
#  Necessary keys are:
#   + ErrorSet           (Specifies the 'set' of error, which may correlated to other data sets)
#   + Data		 (the data table, bin boundaries, and errors)
#   + Errors		 (specify the used errors, and its nature)
#   + TheoryFactors     (multiplicative factors to be applied on theory) 
#   + TheoryErrors	 (additional errors on the theory [as sepcified in 'Data'])
# 
##########################################################

# Path: /HepData/1368/d1-x1-y1
# Measured inclusive jet differential cross section as a function of PT for the rapidity range -0.1 to 0.1 with the jet resolution parameter D = 0.7.
# Location: T 4, F 9
# ABS(YRAP(P=3)) : < 0.1
# RE : PBAR P --> JET X
# sqrts : 1960.0 GeV
# sqrts : 1960.0 GeV
# x: PT(P=3) IN GEV
# y : D2(SIG)/DPT/DYRAP IN NB/GEV
# #
#

	
Data	{{
 Bin   ptmin   ptmax   ptavg    ybin    ymin    ymax   Sigma    stat    sys+    sys-   JES1+   JES1-   JES2+   JES2-   JES3+   JES3-   JES4+   JES4-  beta1+  beta1-  beta2+  beta2-  beta3+  beta3-  beta4+  beta4-  beta5+  beta5-  beta6+  beta6-  beta7+  beta7-    res+    res-   mipt+   mipt-  unfold   spect    lumi      NP   NPerr
  71     127     146     136       5       2       2  0.0121     1.7    19.8   -18.2    16.2   -14.2     3.8    -3.4     2.9    -2.6     9.2    -8.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     4.3    -4.0     0.0     0.0   -16.9     1.8     1.4    -1.4     3.7     0.1     5.8   1.047     2.1
  72     146     169     158       5       2       2 0.00292     1.4    24.0   -20.9    18.7   -16.3     3.9    -3.4     3.2    -2.8    12.0   -10.4     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     5.0    -4.6     0.0     0.0   -19.8     2.1     1.4    -1.3     3.8     0.2     5.8   1.035     1.2
  73     169     195     182       5       2       2 5.74E-4     1.6    28.7   -24.0    22.1   -18.4     4.0    -3.4     3.5    -2.9    15.8   -13.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     6.0    -5.4     1.3    -0.9   -23.0     2.5     1.4    -1.3     3.8     0.5     5.8   1.024     0.3
  74     195     224     210       5       2       2 8.49E-5     3.7    36.4   -28.5    27.1   -20.7     4.4    -3.3     4.0    -3.1    21.2   -16.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     7.0    -6.4     5.3    -5.6   -26.7     3.0     1.4    -1.3     3.8     1.1     5.8   1.013     0.5
  75     224     259     242       5       2       2 8.65E-6     7.3    48.3   -35.6    34.8   -24.5     4.9    -3.5     4.7    -3.3    29.3   -20.6     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     8.1    -8.0    11.0   -11.1   -32.4     3.5     1.4    -1.3     3.8     2.1     5.8   1.003     1.2
  76     259     298     278       5       2       2 5.67E-7    29.1    57.3   -49.4    39.0   -32.8     4.8    -4.0     4.9    -4.1    35.0   -29.5     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     9.1   -10.5    19.1   -17.5   -44.5     3.9     1.4    -1.3     3.8     3.7     5.8   0.993     1.8
}}

Subsets	{
 ybin
}

ErrorSet		"CDF-RunII"   # errors are labelled as "<ErrorSet>_<Name>", and are correlated with other of the same name of other datasets 
ErrorUnit		  Percent         # Are errors given as: "Absolute", "Relative", "Percent"

# stat  uncor NPCorr npcorerr CMS_lumierr unf_err JEC0  JEC1  JEC3  JEC4  JEC5  JEC6  JEC7  JEC9  JEC10 JEC8  JEC11 JEC12 JEC13 JEC14 JEC15 JEC2a JEC2b JEC2c JEC2d JEC2e

Errors {{
  ErrorName      Column          Correlation
    Stat          stat             ESM0
#    sys           dy+:dy-           EYM1
    JES1         JES1+:JES1-       EYM1
    JES2         JES2+:JES2-   	   EYM1
    JES3         JES3+:JES3-   	   EYM1
    JES4         JES4+:JES4-	   EYM1
    beta1        beta1+:beta1-	   EYM1
    beta2        beta2+:beta2-	   EYM1
    beta3        beta3+:beta3-	   EYM1
    beta4        beta4+:beta4-	   EYM1
    beta5        beta5+:beta5-	   EYM1
    beta6        beta6+:beta6-	   EYM1
    beta7        beta7+:beta7-	   EYM1
    res          res+:res-	   EYM1
    mipt         mipt+:mipt-	   EYM1
    unfold       unfold		   EYM1
    spect        spect             EYM1
    lumi         lumi              EYM1
    NPerr        NPerr             TYM1  # theory error
}}

TheoryFactors { # a list 
  NP
}


